N	Total Time	Average CPE
362	4272	11.80
363	4312	11.88
364	4307	11.83
365	4636	12.70
366	4339	11.86
367	4332	11.80
368	4335	11.78
369	4349	11.79
370	4757	12.86
371	4561	12.29
372	4586	12.33
373	4386	11.76
374	4462	11.93
375	4424	11.80
376	4622	12.29
377	4447	11.80
378	4455	11.79
379	4493	11.85
380	4465	11.75
381	4476	11.75
382	4493	11.76
383	4792	12.51
384	4505	11.73
385	4531	11.77
386	4539	11.76
387	4729	12.22
388	4599	11.85
389	4567	11.74
390	4769	12.23
391	4750	12.15
392	4626	11.80
393	4602	11.71
394	4788	12.15
395	4634	11.73
396	4669	11.79
397	4931	12.42
398	4659	11.71
399	4832	12.11
400	4726	11.81
401	4994	12.45
402	4702	11.70
403	4908	12.18
404	4729	11.71
405	5037	12.44
406	4732	11.66
407	4756	11.69
408	4755	11.65
409	4852	11.86
410	4790	11.68
411	4951	12.05
412	4819	11.70
413	4860	11.77
414	4825	11.65
415	4982	12.00
416	4845	11.65
417	4909	11.77
418	4889	11.70
419	4884	11.66
420	5228	12.45
421	4901	11.64
422	4954	11.74
423	4924	11.64
424	4976	11.74
425	4933	11.61
426	5283	12.40
427	5150	12.06
428	5199	12.15
429	5103	11.90
430	5340	12.42
431	5197	12.06
432	5367	12.42
433	5113	11.81
434	5175	11.92
435	5185	11.92
436	5347	12.26
437	5171	11.83
438	5245	11.97
439	5173	11.78
440	5706	12.97
441	5260	11.93
442	5195	11.75
443	5342	12.06
444	5200	11.71
445	5330	11.98
446	5518	12.37
447	5447	12.19
448	5288	11.80
449	5354	11.92
450	5394	11.99
451	5607	12.43
452	5416	11.98
453	5360	11.83
454	5329	11.74
455	9957	21.88
456	5417	11.88
457	5419	11.86
458	5472	11.95
459	5482	11.94
460	6071	13.20
461	5431	11.78
462	5454	11.81
463	5552	11.99
464	5823	12.55
465	5708	12.28
466	5496	11.79
467	5805	12.43
468	5510	11.77
469	6095	13.00
470	5567	11.84
471	5752	12.21
472	5606	11.88
473	5622	11.89
474	5628	11.87
475	5869	12.36
476	5821	12.23
477	5599	11.74
478	5912	12.37
479	5692	11.88
480	5841	12.17
481	5655	11.76
482	6161	12.78
483	5885	12.18
484	5766	11.91
485	6034	12.44
486	5944	12.23
487	5952	12.22
488	5842	11.97
489	6095	12.46
490	6082	12.41
491	5924	12.07
492	6060	12.32
493	5918	12.00
494	5792	11.72
495	5924	11.97
496	6096	12.29
497	6130	12.33
498	5886	11.82
499	6224	12.47
500	6088	12.18
501	6291	12.56
502	6134	12.22
503	6039	12.01
504	6169	12.24
505	6294	12.46
506	6090	12.04
507	6192	12.21
508	6136	12.08
509	6298	12.37
510	6125	12.01
511	6584	12.88
512	6383	12.47
513	7075	13.79
514	6375	12.40
515	6381	12.39
516	6814	13.21
517	6564	12.70
518	6446	12.44
519	6682	12.87
520	6443	12.39
521	6458	12.40
522	6698	12.83
523	6713	12.84
524	6551	12.50
525	6481	12.34
526	6598	12.54
527	6707	12.73
528	6835	12.95
529	6577	12.43
530	6767	12.77
531	6540	12.32
532	6781	12.75
533	6612	12.41
534	6648	12.45
535	6791	12.69
536	7025	13.11
537	6698	12.47
538	6651	12.36
539	6740	12.50
540	6708	12.42
541	6934	12.82
542	6842	12.62
543	6697	12.33
544	6666	12.25
545	6748	12.38
546	6810	12.47
547	6876	12.57
548	6792	12.39
549	7185	13.09
550	7305	13.28
551	6969	12.65
552	6793	12.31
553	6860	12.41
554	7037	12.70
555	6845	12.33
556	6829	12.28
557	6896	12.38
558	6953	12.46
559	6863	12.28
560	6952	12.41
561	7289	12.99
562	6852	12.19
563	6966	12.37
564	6957	12.34
565	6935	12.27
566	6959	12.30
567	6980	12.31
568	7402	13.03
569	6902	12.13
570	6853	12.02
571	6971	12.21
572	7155	12.51
573	7053	12.31
574	7074	12.32
575	7114	12.37
576	7051	12.24
577	7492	12.98
578	7319	12.66
579	7207	12.45
580	7120	12.28
581	7295	12.56
582	7199	12.37
583	7235	12.41
584	7484	12.82
585	7411	12.67
586	7235	12.35
587	7209	12.28
588	7280	12.38
589	7245	12.30
590	7223	12.24
591	7540	12.76
592	7306	12.34
593	7218	12.17
594	7505	12.63
595	7453	12.53
596	7272	12.20
597	7558	12.66
598	7418	12.40
599	7244	12.09
600	7348	12.25
601	7445	12.39
602	7661	12.73
603	7312	12.13
604	7429	12.30
605	7520	12.43
606	7455	12.30
607	7516	12.38
608	7735	12.72
609	7386	12.13
610	7435	12.19
611	7638	12.50
612	7454	12.18
613	7503	12.24
614	7473	12.17
615	7510	12.21
616	7596	12.33
617	7716	12.51
618	7874	12.74
619	7761	12.54
620	7767	12.53
621	7522	12.11
622	7829	12.59
623	7740	12.42
624	7925	12.70
625	7801	12.48
626	7800	12.46
627	7965	12.70
628	7642	12.17
629	7667	12.19
630	7964	12.64
631	7979	12.65
632	8025	12.70
633	7782	12.29
634	7822	12.34
635	7768	12.23
636	7942	12.49
637	7741	12.15
638	7727	12.11
639	7830	12.25
640	7698	12.03
641	7886	12.30
642	8003	12.47
643	8086	12.58
644	8052	12.50
645	7889	12.23
646	8190	12.68
647	8067	12.47
648	7950	12.27
649	9465	14.58
650	7821	12.03
651	8230	12.64
652	8145	12.49
653	8139	12.46
654	8043	12.30
655	7954	12.14
656	8266	12.60
657	8028	12.22
658	8383	12.74
659	8303	12.60
660	8355	12.66
661	8065	12.20
662	8289	12.52
663	8046	12.14
664	8253	12.43
665	8059	12.12
666	8380	12.58
667	8015	12.02
668	8133	12.18
669	8333	12.46
670	8045	12.01
671	8190	12.21
672	8380	12.47
673	8411	12.50
674	8225	12.20
675	7960	11.79
676	8393	12.42
677	8409	12.42
678	8210	12.11
679	8262	12.17
680	8774	12.90
681	8512	12.50
682	8507	12.47
683	8516	12.47
684	8329	12.18
685	8356	12.20
686	8306	12.11
687	8514	12.39
688	8336	12.12
689	8375	12.16
690	9154	13.27
691	8677	12.56
692	8384	12.12
693	8675	12.52
694	8546	12.31
695	8349	12.01
696	8365	12.02
697	8610	12.35
698	8512	12.19
699	8485	12.14
700	8493	12.13
701	8470	12.08
702	8634	12.30
703	8585	12.21
704	8555	12.15
705	8793	12.47
706	8592	12.17
707	8594	12.16
708	8817	12.45
709	9407	13.27
710	8623	12.15
711	8521	11.98
712	8651	12.15
713	9174	12.87
714	8366	11.72
715	8883	12.42
716	8542	11.93
717	8652	12.07
718	8474	11.80
719	8908	12.39
720	8621	11.97
721	8841	12.26
722	8520	11.80
723	8592	11.88
724	8683	11.99
725	8862	12.22
726	8593	11.84
727	8833	12.15
728	9118	12.52
729	8716	11.96
730	8781	12.03
731	9004	12.32
732	8896	12.15
733	8792	11.99
734	9013	12.28
735	8801	11.97
736	9524	12.94
737	8881	12.05
738	9078	12.30
739	8840	11.96
740	8955	12.10
741	8847	11.94
742	9007	12.14
743	9405	12.66
744	8981	12.07
745	9169	12.31
